FORMNO	CHILDID	CDINT	EVERSCH	ENRSCH	SINGLSEX	SCTYPE	GRADNOW	TMSCHMIN	TRANSSCH	DANGSCH	SCHRISK1	SCHRISK2	SCHRISK3	MISSCH	WMISSC1	WMISSC2	WMISSC3	SEAMIS01	SEAMIS02	SEAMIS03	BESTSCH1	BESTSCH2	BESTSCH3	WORSTSC1	WORSTSC2	WORSTSC3	VNEXCLSS	VNYEXCL1	VNYEXCL2	VNYEXCL3	AMEXSC01	AMEXSC02	AMEXSC03	AMEXSC04	AMEXSC05	AMEXSC06	AMEXSC07	AMEXSC08	TEXCLS01	TEXCLS02	TEXCLS03	TEXCLS04	TEXCLS05	TEXCLS06	TEXCLS07	TEXCLS08	VNYATEX1	VNYATEX2	VNYATEX3	VNENJEXC	VNYNOENJ	VNEXCUSE	GRADCOMP	AGESTOP	XSINGLSX	XSCTYPE	XTMSCHMN	XTRNSSCH	XDANGSCH	XSCHRISK	SCHWHY1	SCHWHY2	SCHWHY3	CSLEEP	CCHCARE	CHHCHORE	CNPAYWRK	CPAYWORK	CSCHOOL	CSTUDY	CPLAY	CHLDWORK	PAYLIKE1	PAYLIKE2	PAYLIKE3	PYNOLIK1	PYNOLIK2	PYNOLIK3	SCHWRK	SCHMISS	WRKINJ	WRKINJ1	WRKINJ2	WRKINJ3	PPVTLOW	PPVTHIGH	STRTHRPP	STRTMNPP	PPVT001	PPVT002	PPVT003	PPVT004	PPVT005	PPVT006	PPVT007	PPVT008	PPVT009	PPVT010	PPVT011	PPVT012	SET01ERR	PPVT013	PPVT014	PPVT015	PPVT016	PPVT017	PPVT018	PPVT019	PPVT020	PPVT021	PPVT022	PPVT023	PPVT024	SET02ERR	PPVT025	PPVT026	PPVT027	PPVT028	PPVT029	PPVT030	PPVT031	PPVT032	PPVT033	PPVT034	PPVT035	PPVT036	SET03ERR	PPVT037	PPVT038	PPVT039	PPVT040	PPVT041	PPVT042	PPVT043	PPVT044	PPVT045	PPVT046	PPVT047	PPVT048	SET04ERR	PPVT049	PPVT050	PPVT051	PPVT052	PPVT053	PPVT054	PPVT055	PPVT056	PPVT057	PPVT058	PPVT059	PPVT060	SET05ERR	PPVT061	PPVT062	PPVT063	PPVT064	PPVT065	PPVT066	PPVT067	PPVT068	PPVT069	PPVT070	PPVT071	PPVT072	SET06ERR	PPVT073	PPVT074	PPVT075	PPVT076	PPVT077	PPVT078	PPVT079	PPVT080	PPVT081	PPVT082	PPVT083	PPVT084	SET07ERR	PPVT085	PPVT086	PPVT087	PPVT088	PPVT089	PPVT090	PPVT091	PPVT092	PPVT093	PPVT094	PPVT095	PPVT096	SET08ERR	PPVT097	PPVT098	PPVT099	PPVT100	PPVT101	PPVT102	PPVT103	PPVT104	PPVT105	PPVT106	PPVT107	PPVT108	SET09ERR	PPVT109	PPVT110	PPVT111	PPVT112	PPVT113	PPVT114	PPVT115	PPVT116	PPVT117	PPVT118	PPVT119	PPVT120	SET10ERR	PPVT121	PPVT122	PPVT123	PPVT124	PPVT125	PPVT126	PPVT127	PPVT128	PPVT129	PPVT130	PPVT131	PPVT132	SET11ERR	PPVT133	PPVT134	PPVT135	PPVT136	PPVT137	PPVT138	PPVT139	PPVT140	PPVT141	PPVT142	PPVT143	PPVT144	SET12ERR	PPVT145	PPVT146	PPVT147	PPVT148	PPVT149	PPVT150	PPVT151	PPVT152	PPVT153	PPVT154	PPVT155	PPVT156	SET13ERR	PPVT157	PPVT158	PPVT159	PPVT160	PPVT161	PPVT162	PPVT163	PPVT164	PPVT165	PPVT166	PPVT167	PPVT168	SET14ERR	PPVT169	PPVT170	PPVT171	PPVT172	PPVT173	PPVT174	PPVT175	PPVT176	PPVT177	PPVT178	PPVT179	PPVT180	SET15ERR	PPVT181	PPVT182	PPVT183	PPVT184	PPVT185	PPVT186	PPVT187	PPVT188	PPVT189	PPVT190	PPVT191	PPVT192	SET16ERR	PPVT193	PPVT194	PPVT195	PPVT196	PPVT197	PPVT198	PPVT199	PPVT200	PPVT201	PPVT202	PPVT203	PPVT204	SET17ERR	FINHRPP	FINMNPP	CEILING	MINERR	language1	language2	source	score_ppvt	rscorelang_ppvt	CONDPP	YNOADQ01	YNOADQ02	PPFWLANG	PPCDLANG	STRTHRWM	STRTMRWM	LEVLREAD	LEVLWRIT	MATH01	MATH02	MATH03	MATH04	MATH05	MATH06	MATH07	MATH08	MATH09	MATH10	score_math	rscorelang_math	FINHRRWM	FINMNRWM	CONDRWAQ	YNORWM01	YNORWM02	CHEALTHY	CFODFRQ1	CFODFRQ2	CFODFRQ3	CFODFRQ4	CFODFRQ5	CFODFRQ6	CFODFRQ7	CFOODTOT	CFDDIV01	CFDDIV02	CFDDIV03	CFDDIV04	CFDDIV05	CFDDIV06	CFDDIV07	CFDDIV08	CFDDIV09	CFDDIV10	CFDDIV11	CFDIVTOT	MENARCHE	VOICE	HAIRCHIN	CANYHELP	WHOHELP	CHELP01	CHELP02	CHELP03	CHELP04	CHELP05	CHELP06	FRIEND	LEAD	INCGAME	HARDTALK	HELPCHLD	UNDERFIF	WORKWITH	WOTALK	WOHELP	PAYTALK	GRPMEM01	GRPMEM02	GRPMEM03	GRPMEM04	GRPMEM05	GRPMEM06	GRPMEM08	GRPATT01	GRPATT02	GRPATT03	GRPATT04	GRPATT05	GRPATT06	GRPATT08	CFAMSON	CLADDER	CFARLAD	CHLPMV1	CHLPMV2	CHLPMV3	CHLPDWN1	CHLPDWN2	CHLPDWN3	CFAMDTR	CSCUSEFL	CNSCUSE	CHFUTURE	CGRDLIKE	CEXPGRAD	CYDRPOT1	CYDRPOT2	CYDRPOT3	TR1	TR2	TR3	SV1	SV2	TR4	SV5	SV6	AG1	AG2	AG3	PS1	PS2	PS7	PS3	SD1	SD2	WHYBAD1	WHYBAD2	WHYBAD3	PS4	PS8	SD3	AG4	SD4	PS5	SD5	TEABAD1	TEABAD2	TEABAD3	PS6	AG5	PS9	OBEY	NOTALK	LOVED	NOSUPP	SPEAK	FAIRPUN	SISLESS	TIMATT	BROLESS	BROFREE	SISFREE	PARWOR	DECISION	PARDEC	WHATDEC	MINDS	AMBITION	CCIRCUM1	CCIRCUM2	CREAS1	CREAS2	CRELCIRC
R28YRS	VN041040	12/18/2006	1	1	0	3	7	30	2	0	88	88	88	0	88	88	88	88	88	88	10	14	88	1	2	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	8	2	1	0	0	6	5	2	0	88	88	88	88	88	88	3	0	0	88	88	88	85	204	13	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	1	4	3	1	4	1	3	2	3	1	1	2	2	4	4	4	1	3	4	1	2	1	3	1	4	2	3	2	1	1	2	2	1	2	4	3	2	1	4	3	1	4	1	2	1	4	1	4	3	3	3	2	1	4	1	1	4	4	2	1	2	3	1	4	3	2	3	1	2	4	4	2	2	1	4	2	2	1	3	3	4	2	4	4	3	2	4	4	7	4	3	1	4	1	2	3	3	1	3	4	1	4	4	1	3	4	4	3	2	3	2	3	1	2	2	2	2	3	1	1	4	3	1	2	2	3	2	2	13	30	204	25	1	1	3	147	313.054718017578	1	88	88	41	41	13	30	4	3	419	45	8	2	2	1	2	3	7	400	8	302.010223388672	13	55	1	88	88	3	1	1	1	1	1	1	1	7	1	1	0	0	1	0	1	1	0	1	0	6	0	88	88	1	1	1	1	1	77	1	1	10	3	1	3	2	88	88	88	88	88	1	0	0	1	0	0	0	2	88	88	2	88	88	88	2	7	8	18	17	88	8	88	88	2	1	88	37	14	1	88	88	88	3	3	2	4	3	2	2	77	1	2	1	2	2	2	2	2	3	88	88	88	2	4	2	1	3	4	3	88	88	88	88	88	88	2	2	2	2	3	3	4	2	3	2	88	4	0	88	88	88	37	3	3	88	88	4
R28YRS	VN041041	12/19/2006	1	1	0	3	7	30	2	1	1	88	88	0	88	88	88	88	88	88	5	10	88	2	16	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	1	3	0	0	4	3	4	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	11	20	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	3	3	2	1	3	2	1	4	1	4	3	3	3	2	1	4	1	1	4	2	2	2	2	3	2	4	3	2	3	2	4	4	1	2	2	1	4	2	2	2	2	3	4	2	2	1	2	2	3	3	4	4	2	1	1	4	2	3	2	1	2	4	1	2	2	1	3	4	1	3	2	4	2	3	1	2	1	1	2	3	4	3	4	3	1	4	2	3	2	3	11	40	204	19	1	1	3	151	322.8642578125	1	88	88	41	41	11	40	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	12	15	1	88	88	1	0	1	1	1	1	1	0	5	1	1	0	0	0	0	1	1	1	1	1	7	88	99	99	1	1	1	0	1	0	1	1	26	2	1	3	2	88	88	88	88	88	1	1	0	1	0	1	0	2	3	88	2	88	3	88	2	4	7	1	17	88	1	8	88	2	1	88	11	14	1	88	88	88	1	1	2	2	2	3	1	2	1	2	2	1	3	3	1	1	4	88	88	88	4	4	1	1	4	2	4	88	88	88	88	88	88	1	2	1	4	1	1	4	1	88	88	3	4	0	88	88	88	11	3	4	9	88	4
R28YRS	VN041042	12/21/2006	1	1	0	3	7	15	1	0	88	88	88	0	88	88	88	88	88	88	5	9	10	12	88	88	1	88	88	88	1	0	0	0	0	0	0	0	1	99	99	99	99	99	99	99	2	5	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	0	2	0	0	5	2	6	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	8	35	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	4	3	3	2	1	2	1	4	1	4	3	2	3	3	1	4	1	1	4	4	2	1	2	2	3	4	3	2	3	1	4	4	4	3	2	1	4	3	2	1	3	3	4	4	4	1	4	2	3	4	4	4	2	1	3	1	2	3	2	1	3	4	1	1	2	2	3	4	2	3	2	1	2	3	1	2	4	1	2	3	1	1	4	3	1	4	2	3	2	1	9	0	204	19	1	1	3	152	325.561889648438	1	88	88	41	41	9	0	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	9	20	1	88	88	1	0	1	0	1	0	1	1	4	1	0	0	0	0	0	1	1	1	0	1	5	0	88	88	1	4	1	1	1	77	1	1	10	1	1	3	1	88	88	88	88	88	1	0	0	0	0	0	0	2	88	88	88	88	88	88	2	3	5	15	16	88	10	15	88	2	1	88	40	14	1	88	88	88	2	2	2	1	1	3	1	2	1	3	1	1	4	4	1	1	4	88	88	88	4	1	1	1	2	1	4	88	88	88	88	88	88	1	3	1	3	1	1	3	1	4	4	88	4	0	88	88	88	11	3	2	47	56	4
R28YRS	VN041043	12/21/2006	1	1	0	3	6	15	2	0	88	88	88	1	16	88	88	11	99	99	10	88	88	30	88	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	2	0	0	4	3	6	0	88	88	88	88	88	88	1	0	0	88	88	88	109	204	7	50	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	4	4	1	3	2	2	1	4	1	4	3	3	3	2	1	4	1	1	4	4	2	3	2	3	0	4	2	2	3	1	3	4	1	2	2	1	4	1	2	1	2	3	1	4	3	2	4	2	3	3	5	4	2	2	1	4	2	3	2	1	3	4	1	2	4	1	3	4	1	3	2	4	2	3	1	2	0	1	2	3	1	1	4	3	1	4	2	3	2	1	8	10	204	14	1	1	3	154	331.69287109375	1	88	88	41	41	8	10	4	3	419	45	8	2	2	1	2	4	7	326	8	302.010223388672	8	25	1	88	88	3	0	1	1	1	1	1	0	5	1	0	0	0	0	1	1	1	1	1	1	7	0	88	88	1	1	1	1	1	0	1	1	25	3	1	3	2	88	88	88	88	88	1	1	0	1	0	1	0	3	3	88	3	88	4	88	2	4	5	16	1	88	8	5	88	2	1	88	35	12	1	88	88	88	1	1	1	1	1	1	3	2	3	3	2	1	3	4	1	2	4	88	88	88	3	3	2	2	3	3	4	88	88	88	88	88	88	1	3	1	2	2	2	88	1	3	1	88	3	0	88	88	88	35	3	4	21	16	4
R28YRS	VN041046	12/25/2006	1	1	0	3	6	20	2	0	88	88	88	0	88	88	88	88	88	88	10	88	88	12	88	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	10	0	2	0	0	5	2	5	0	88	88	88	88	88	88	3	0	0	88	88	88	85	204	10	35	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	3	4	1	4	3	1	4	2	3	2	3	1	1	2	2	4	3	2	1	2	4	1	2	4	3	3	2	2	3	3	4	1	1	3	1	2	4	3	4	1	3	3	1	4	2	2	3	4	1	1	3	7	3	2	3	4	1	1	4	2	3	3	2	3	3	4	3	2	1	1	1	4	4	2	2	1	4	3	2	4	2	3	4	1	3	1	2	1	3	4	6	4	2	2	1	1	2	3	2	1	2	1	1	5	4	2	3	4	1	2	2	1	3	3	1	2	4	1	2	3	1	3	4	3	1	2	2	3	2	3	11	0	204	39	1	1	3	138	295.152282714844	1	88	88	41	41	11	0	4	3	419	45	8	2	2	3	2	4	7	60	7	266.186309814453	11	10	1	88	88	1	1	1	1	1	1	1	0	6	1	0	0	0	1	1	1	1	1	1	1	8	0	88	88	1	1	1	0	1	0	1	1	5	3	2	3	2	88	88	88	88	88	0	0	0	0	0	0	0	88	88	88	88	88	88	88	2	2	5	18	88	88	7	88	88	2	1	88	31	12	1	88	88	88	2	2	1	3	1	4	3	2	1	2	3	2	4	2	1	1	3	88	88	88	2	1	1	2	3	3	3	88	88	88	88	88	88	1	2	2	3	2	2	3	1	2	1	2	3	0	88	88	88	44	3	2	31	88	4
R28YRS	VN041047	12/25/2006	1	1	0	3	6	15	2	0	88	88	88	0	88	88	88	88	88	88	1	10	5	19	88	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	1	1	0	5	4	4	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	8	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	1	3	3	1	1	4	2	1	2	4	3	1	2	4	3	3	2	2	2	3	4	1	4	3	4	3	2	1	4	1	1	4	4	3	3	2	3	1	4	3	2	3	1	4	4	1	2	2	1	4	1	2	4	4	3	4	3	4	2	4	2	3	3	4	4	2	1	1	1	2	3	4	4	3	4	1	4	3	2	3	4	1	3	2	3	2	3	1	1	4	3	2	3	1	3	4	3	1	4	2	3	2	2	8	15	204	20	1	1	3	152	325.561889648438	1	88	88	41	41	8	15	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	8	30	1	88	88	3	0	1	0	1	0	1	1	4	1	1	0	0	1	1	1	1	0	0	1	7	88	99	99	1	1	1	1	1	0	1	1	13	2	1	3	2	88	88	88	88	88	0	0	0	0	0	0	0	88	88	88	88	88	88	88	2	4	7	2	12	88	14	88	88	2	1	88	40	14	1	88	88	88	2	2	1	4	3	4	1	1	1	3	1	2	3	2	2	2	4	88	88	88	2	2	1	1	2	2	2	88	88	88	88	88	88	1	3	2	1	2	1	2	2	88	88	1	2	0	88	88	88	37	3	2	47	54	3
R28YRS	VN041049	12/24/2006	1	1	0	3	7	15	2	0	88	88	88	0	88	88	88	88	88	88	5	10	88	15	16	88	0	10	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	8	0	0	2	0	5	2	7	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	9	5	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	1	1	2	2	1	2	4	3	1	2	4	3	1	3	4	2	1	4	1	4	3	2	3	2	1	4	1	1	4	2	4	1	2	3	3	4	3	2	3	1	4	4	1	2	2	1	4	1	2	4	3	3	4	1	4	2	1	2	3	3	5	4	2	1	1	1	1	3	1	1	3	4	1	4	4	2	3	4	1	3	2	1	2	3	1	1	3	3	2	3	2	1	4	3	1	4	2	3	2	2	9	25	204	21	1	1	3	151	322.8642578125	1	88	88	41	41	9	25	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	9	35	1	88	88	1	0	1	1	1	0	1	0	4	1	1	0	0	0	0	1	1	1	0	1	6	88	0	0	1	4	1	1	1	88	1	1	14	3	1	3	2	88	88	88	88	88	1	0	0	1	0	0	0	1	88	88	2	88	88	88	2	5	6	1	15	88	7	1	88	2	1	88	33	14	1	88	88	88	2	2	3	1	2	2	2	1	1	3	1	1	3	3	3	1	3	88	88	88	3	3	1	1	3	3	1	99	99	99	88	88	88	1	1	1	3	3	3	3	3	3	1	1	1	0	88	88	88	14	3	3	88	88	4
R28YRS	VN041050	12/24/2006	1	1	0	3	6	30	2	0	88	88	88	0	88	88	88	88	88	88	9	10	3	27	88	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	1	2	0	0	5	2	5	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	9	55	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	4	3	2	3	2	2	1	4	1	4	3	1	3	2	1	4	1	1	4	4	3	3	2	3	1	4	3	2	3	2	4	4	1	2	2	1	4	2	2	2	3	3	4	1	3	1	1	2	3	1	5	4	2	3	4	4	2	3	4	1	1	1	1	5	4	1	3	4	1	3	2	4	2	3	1	2	0	1	2	3	1	1	4	3	1	4	2	3	2	1	10	10	204	16	1	1	3	154	331.69287109375	1	88	88	41	41	10	10	4	3	501	45	8	2	2	1	4	4	7	60	7	266.186309814453	10	25	1	88	88	1	0	0	0	1	1	1	0	3	1	0	0	0	0	1	1	1	0	0	1	5	88	0	0	1	1	1	1	1	77	1	1	20	2	1	3	1	88	88	88	88	88	0	0	0	0	0	0	77	88	88	88	88	88	88	99	2	2	3	17	18	88	7	88	88	2	1	88	17	8	1	11	5	7	2	2	2	2	3	3	2	2	2	1	3	1	4	4	1	2	4	88	88	88	4	2	2	3	4	2	4	88	88	88	88	88	88	1	2	2	3	2	2	3	2	2	3	3	4	1	1	3	0	17	4	6	12	30	5
R28YRS	VN041059	1/4/2007	1	1	0	3	6	15	2	1	1	88	88	0	88	88	88	88	88	88	3	5	88	16	88	88	1	88	88	88	4	0	0	4	0	0	2	0	3	99	99	3	99	99	3	99	2	88	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	0	1	0	0	5	2	7	0	88	88	88	88	88	88	1	0	0	88	88	88	73	168	10	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	1	4	3	1	1	3	2	1	2	4	3	4	1	1	4	1	1	3	1	2	3	1	1	3	1	6	2	1	4	1	4	1	3	4	1	2	1	3	2	4	2	3	3	4	1	3	4	1	2	4	3	3	1	4	4	3	2	2	2	1	4	1	4	3	5	3	2	1	4	1	1	4	3	2	1	2	3	2	4	3	2	3	2	3	4	1	4	2	4	4	3	1	3	2	3	4	1	4	1	1	1	1	4	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	10	25	168	30	1	1	3	113	255.423583984375	1	88	88	41	41	10	25	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	10	40	1	88	88	3	0	1	0	1	1	1	1	5	1	0	0	1	1	1	1	1	1	1	0	8	0	88	88	1	1	1	1	1	1	1	1	4	2	2	3	1	88	88	88	88	88	0	0	0	0	0	0	0	88	88	88	88	88	88	88	2	5	7	15	88	88	99	99	99	2	1	88	40	14	1	88	88	88	1	1	1	1	1	1	1	1	1	4	1	1	4	4	1	1	4	88	88	88	4	4	1	1	4	1	4	88	88	88	88	88	88	1	4	1	4	1	1	4	1	4	1	1	4	0	88	88	88	11	4	2	54	88	4
R28YRS	VN041092	12/19/2006	1	1	0	3	7	30	2	1	1	5	88	0	88	88	88	88	88	88	10	5	18	25	28	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	6	1	1	1	2	5	3	4	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	8	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	1	1	2	2	1	2	4	3	1	2	4	3	4	1	4	2	1	4	1	4	3	3	3	2	1	4	1	1	4	4	2	3	2	3	0	4	3	2	3	1	4	4	1	2	2	1	4	1	2	1	4	3	4	1	2	1	4	2	3	3	0	4	2	1	3	4	2	3	2	1	3	4	1	0	4	1	3	4	1	3	2	4	2	3	1	2	0	4	2	3	1	1	4	3	1	4	2	3	2	0	8	30	204	5	1	1	3	162	372.157287597656	1	88	88	41	41	8	30	4	3	419	45	8	2	2	2	2	4	17	120	6	243.601669311523	8	50	1	88	88	1	0	1	1	1	1	1	1	6	1	0	0	1	0	1	1	1	0	1	1	7	0	88	88	1	1	1	1	1	1	1	1	9	2	1	3	2	88	88	88	88	88	1	0	0	1	0	77	0	2	88	88	2	88	99	88	2	3	5	17	14	6	11	14	5	2	1	88	35	14	0	27	19	88	2	2	2	1	2	2	2	3	2	2	2	3	3	2	1	2	4	88	88	88	2	2	2	1	4	2	4	88	88	88	88	88	88	1	2	1	2	2	3	2	2	2	2	2	3	0	88	88	88	35	3	4	22	88	4
R28YRS	VN041106	12/18/2006	1	1	0	3	6	25	2	0	88	88	88	0	88	88	88	88	88	88	5	9	88	1	16	88	0	12	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	1	1	0	0	5	3	5	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	9	40	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	4	3	3	3	2	2	1	4	1	4	3	2	3	2	1	4	1	1	4	4	2	3	2	3	0	4	3	2	3	2	4	4	1	2	2	4	4	3	2	3	3	3	4	2	4	2	4	2	3	3	5	4	2	2	1	4	2	3	3	1	3	4	1	3	4	2	3	4	4	3	2	3	2	3	4	1	5	1	1	3	2	1	4	3	1	2	2	3	2	4	10	15	204	22	1	1	3	148	315.261871337891	1	88	88	41	41	10	20	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	10	45	1	88	88	1	0	1	1	1	0	1	0	4	1	0	0	0	1	0	1	1	0	1	1	6	0	88	88	1	1	1	1	1	88	0	1	4	2	2	3	2	88	88	88	88	88	1	1	0	0	0	0	0	2	2	88	88	88	88	88	2	3	7	8	15	88	5	7	20	2	1	88	11	14	0	4	5	7	3	3	4	2	2	3	3	2	2	2	1	3	3	2	1	1	3	88	88	88	2	3	2	1	3	1	3	88	88	88	88	88	88	2	3	3	2	3	1	2	2	3	3	3	2	1	2	11	0	37	5	3	12	88	7
