PLACEID	WTSPIDR5	CONNTYPE	WATERTRT	TREATFRQ
1703	3	 	 	 
1704	1	 	 	 
1704	2	 	 	 
1704	3	 	 	 
1705	1	 	 	 
1705	2	 	 	 
1705	3	 	 	 
1708	1	 	 	 
1708	2	 	 	 
1708	3	 	 	 
1709	1	0	 	 
1709	2	1	1	1
1709	3	0	 	 
1710	1	0	 	 
1710	2	1	1	7
1710	3	0	 	 
1711	1	0	 	 
1711	2	0	 	 
1711	3	1	0	 
1801	1	0	 	 
1801	2	0	 	 
1801	3	1	1	4
1802	1	0	 	 
1802	2	0	 	 
1802	3	1	1	4
1803	1	0	 	 
1803	2	0	 	 
1803	3	1	1	1
1804	1	0	 	 
1804	2	0	 	 
1804	3	1	1	6
1805	1	0	 	 
1805	2	0	 	 
1805	3	1	1	6
1806	1	0	 	 
1806	2	0	 	 
1806	3	1	1	4
1807	1	1	 	 
1807	2	0	 	 
1807	3	0	 	 
1901	1	0	 	 
1901	2	1	1	1
1901	3	0	 	 
1902	1	0	 	 
1902	2	1	1	1
1902	3	0	 	 
1903	1	0	 	 
1903	2	0	 	 
1903	3	1	1	2
1904	1	0	 	 
1904	2	1	1	1
1904	3	0	 	 
1905	1	0	 	 
1905	2	1	1	4
1905	3	0	 	 
2001	1	1	 	 
2001	2	0	 	 
2001	3	0	 	 
2002	1	1	 	 
2002	2	0	 	 
2002	3	0	 	 
2003	1	1	 	 
2003	2	0	 	 
2003	3	0	 	 
2004	1	1	 	 
2004	2	0	 	 
2004	3	0	 	 
2005	1	1	 	 
2005	2	0	 	 
2005	3	0	 	 
2006	1	1	 	 
2006	2	0	 	 
2006	3	0	 	 
2007	1	1	 	 
2007	2	0	 	 
2007	3	0	 	 
2008	1	 	 	 
2008	2	 	 	 
2008	3	 	 	 
8002	1	1	 	 
8002	2	0	 	 
8002	3	0	 	 
8003	1	0	 	 
8003	2	1	1	3
8003	3	0	 	 
8004	1	1	 	 
8004	2	0	 	 
8004	3	0	 	 
8006	1	1	 	 
8006	2	0	 	 
8006	3	1	0	 
8007	1	1	 	 
8007	2	0	 	 
8007	3	0	 	 
8008	1	1	 	 
8008	2	0	 	 
8008	3	0	 	 
8009	1	1	 	 
8009	2	0	 	 
8009	3	0	 	 
8010	1	1	 	 
8010	2	0	 	 
8010	3	0	 	 
8011	1	 	 	 
8011	2	 	 	 
8011	3	 	 	 
8012	1	1	 	 
8012	2	0	 	 
8012	3	0	 	 
8014	1	1	 	 
8014	2	0	 	 
8014	3	0	 	 
8015	1	0	 	 
8015	2	0	 	 
8015	3	1	1	4
8016	1	1	 	 
8016	2	0	 	 
8016	3	0	 	 
8017	1	1	 	 
8017	2	0	 	 
8017	3	0	 	 
8018	1	0	 	 
8018	2	1	1	4
8018	3	0	 	 
8019	1	1	 	 
8019	2	0	 	 
8019	3	0	 	 
8020	1	0	 	 
8020	2	1	1	4
8020	3	0	 	 
8021	1	0	 	 
8021	2	1	1	4
8021	3	0	 	 
8022	1	0	 	 
8022	2	1	1	4
8022	3	0	 	 
8023	1	0	 	 
8023	2	1	1	2
8023	3	0	 	 
8024	1	0	 	 
8024	2	1	1	6
8024	3	0	 	 
8025	1	1	 	 
8025	2	0	 	 
8025	3	0	 	 
8026	1	1	 	 
8026	2	0	 	 
8026	3	0	 	 
8027	1	1	 	 
8027	2	0	 	 
8027	3	0	 	 
8028	1	1	 	 
8028	2	0	 	 
8028	3	0	 	 
8029	1	1	 	 
8029	2	0	 	 
8029	3	0	 	 
8030	1	1	 	 
8030	2	0	 	 
8030	3	0	 	 
8031	1	1	 	 
8031	2	0	 	 
8031	3	0	 	 
8032	1	0	 	 
8032	2	1	1	1
8032	3	0	 	 
8033	1	1	 	 
8033	2	0	 	 
8033	3	0	 	 
8034	1	1	 	 
8034	2	0	 	 
8034	3	1	1	7
