PLACEID	PLPRIDR5	PROBLOCL	PRBAFCT	PRB3YRS
505	10	0	 	 
505	11	0	 	 
505	12	1	2	2
505	13	0	 	 
505	14	1	1	2
505	15	0	 	 
507	1	0	 	 
507	2	0	 	 
507	3	0	 	 
507	4	0	 	 
507	5	0	 	 
507	6	0	 	 
507	7	0	 	 
507	8	1	1	2
507	9	1	2	3
507	10	0	 	 
507	11	0	 	 
507	12	1	1	2
507	13	0	 	 
507	14	1	1	3
507	15	0	 	 
508	1	0	 	 
508	2	0	 	 
508	3	0	 	 
508	4	0	 	 
508	5	0	 	 
508	6	0	 	 
508	7	0	 	 
508	8	0	 	 
508	9	1	2	2
508	10	0	 	 
508	11	0	 	 
508	12	1	2	2
508	13	0	 	 
508	14	1	1	3
508	15	0	 	 
509	1	0	 	 
509	2	0	 	 
509	3	1	2	1
509	4	0	 	 
509	5	0	 	 
509	6	1	2	1
509	7	1	2	1
509	8	1	2	4
509	9	1	2	2
509	10	0	 	 
509	11	0	 	 
509	12	1	2	2
509	13	0	 	 
509	14	1	1	3
509	15	0	 	 
510	1	0	 	 
510	2	0	 	 
510	3	0	 	 
510	4	1	2	3
510	5	0	 	 
510	6	0	 	 
510	7	0	 	 
510	8	1	2	1
510	9	1	2	1
510	10	0	 	 
510	11	0	 	 
510	12	1	2	3
510	13	0	 	 
510	14	1	2	2
510	15	0	 	 
511	1	0	 	 
511	2	0	 	 
511	3	0	 	 
511	4	0	 	 
511	5	0	 	 
511	6	0	 	 
511	7	0	 	 
511	8	1	2	3
511	9	1	2	1
511	10	0	 	 
511	11	0	 	 
511	12	1	2	2
511	13	0	 	 
511	14	0	 	 
511	15	0	 	 
512	1	0	 	 
512	2	0	 	 
512	3	1	1	3
512	4	0	 	 
512	5	0	 	 
512	6	0	 	 
512	7	0	 	 
512	8	1	2	3
512	9	1	2	2
512	10	0	 	 
512	11	1	2	2
512	12	1	1	3
512	13	0	 	 
512	14	1	1	3
512	15	0	 	 
601	1	0	 	 
601	2	0	 	 
601	3	0	 	 
601	4	0	 	 
601	5	0	 	 
601	6	0	 	 
601	7	0	 	 
601	8	1	2	2
601	9	1	2	1
601	10	0	 	 
601	11	1	2	3
601	12	0	 	 
601	13	0	 	 
601	14	1	2	2
601	15	0	 	 
602	1	0	 	 
602	2	0	 	 
602	3	0	 	 
602	4	0	 	 
602	5	0	 	 
602	6	0	 	 
602	7	0	 	 
602	8	0	 	 
602	9	1	2	2
602	10	0	 	 
602	11	1	1	2
602	12	0	 	 
602	13	1	1	3
602	14	1	1	2
602	15	0	 	 
701	1	0	 	 
701	2	0	 	 
701	3	0	 	 
701	4	0	 	 
701	5	0	 	 
701	6	0	 	 
701	7	0	 	 
701	8	0	 	 
701	9	0	 	 
701	10	0	 	 
701	11	0	 	 
701	12	0	 	 
701	13	0	 	 
701	14	0	 	 
701	15	0	 	 
702	1	0	 	 
702	2	0	 	 
702	3	0	 	 
702	4	0	 	 
702	5	0	 	 
702	6	1	1	3
702	7	1	1	3
702	8	0	 	 
702	9	1	1	3
702	10	0	 	 
702	11	0	 	 
702	12	0	 	 
702	13	0	 	 
702	14	0	 	 
702	15	0	 	 
703	1	0	 	 
703	2	0	 	 
703	3	0	 	 
703	4	0	 	 
703	5	0	 	 
703	6	1	2	3
703	7	0	 	 
703	8	0	 	 
703	9	1	1	3
703	10	0	 	 
703	11	0	 	 
703	12	0	 	 
703	13	0	 	 
703	14	0	 	 
703	15	0	 	 
704	1	0	 	 
704	2	0	 	 
704	3	1	1	2
704	4	0	 	 
704	5	0	 	 
704	6	1	2	2
704	7	1	2	2
704	8	0	 	 
704	9	0	 	 
704	10	0	 	 
704	11	0	 	 
704	12	0	 	 
704	13	0	 	 
704	14	0	 	 
704	15	0	 	 
801	1	1	1	3
801	2	0	 	 
801	3	0	 	 
801	4	0	 	 
801	5	0	 	 
801	6	1	2	3
801	7	1	1	3
801	8	0	 	 
801	9	1	2	3
801	10	0	 	 
801	11	0	 	 
801	12	0	 	 
801	13	0	 	 
801	14	0	 	 
801	15	0	 	 
802	1	0	 	 
802	2	0	 	 
802	3	0	 	 
802	4	0	 	 
802	5	1	2	2
802	6	0	 	 
802	7	1	2	2
802	8	0	 	 
802	9	0	 	 
802	10	0	 	 
802	11	1	2	2
802	12	0	 	 
802	13	0	 	 
802	14	1	2	4
802	15	0	 	 
803	1	0	 	 
803	2	0	 	 
803	3	0	 	 
803	4	0	 	 
803	5	0	 	 
803	6	0	 	 
803	7	0	 	 
803	8	0	 	 
803	9	1	2	3
803	10	0	 	 
803	11	0	 	 
803	12	0	 	 
803	13	0	 	 
803	14	0	 	 
803	15	0	 	 
901	1	0	 	 
901	2	0	 	 
901	3	0	 	 
901	4	0	 	 
901	5	0	 	 
901	6	0	 	 
901	7	0	 	 
901	8	1	2	2
901	9	1	2	1
901	10	0	 	 
901	11	0	 	 
901	12	0	 	 
901	13	0	 	 
901	14	1	1	3
901	15	0	 	 
902	1	0	 	 
902	2	0	 	 
902	3	0	 	 
902	4	0	 	 
902	5	0	 	 
902	6	0	 	 
902	7	0	 	 
902	8	1	2	2
902	9	1	2	2
902	10	0	 	 
902	11	0	 	 
902	12	0	 	 
902	13	0	 	 
902	14	0	 	 
902	15	0	 	 
903	1	0	 	 
903	2	0	 	 
903	3	0	 	 
903	4	0	 	 
903	5	0	 	 
903	6	0	 	 
903	7	0	 	 
903	8	0	 	 
903	9	1	2	2
903	10	0	 	 
903	11	0	 	 
903	12	0	 	 
903	13	0	 	 
903	14	0	 	 
903	15	0	 	 
904	1	0	 	 
904	2	0	 	 
904	3	0	 	 
904	4	0	 	 
904	5	0	 	 
904	6	1	2	2
904	7	0	 	 
904	8	0	 	 
904	9	0	 	 
904	10	0	 	 
904	11	0	 	 
904	12	0	 	 
904	13	0	 	 
904	14	0	 	 
904	15	0	 	 
905	1	0	 	 
905	2	0	 	 
905	3	0	 	 
905	4	0	 	 
905	5	0	 	 
905	6	0	 	 
905	7	0	 	 
905	8	0	 	 
905	9	0	 	 
905	10	0	 	 
905	11	0	 	 
905	12	0	 	 
905	13	0	 	 
905	14	0	 	 
905	15	0	 	 
906	1	0	 	 
906	2	0	 	 
906	3	0	 	 
906	4	0	 	 
906	5	0	 	 
906	6	0	 	 
906	7	0	 	 
906	8	0	 	 
906	9	1	2	2
906	10	0	 	 
906	11	0	 	 
906	12	0	 	 
906	13	0	 	 
906	14	0	 	 
906	15	0	 	 
907	1	0	 	 
907	2	0	 	 
907	3	0	 	 
907	4	0	 	 
907	5	0	 	 
907	6	0	 	 
907	7	0	 	 
907	8	0	 	 
907	9	1	2	2
907	10	0	 	 
907	11	0	 	 
907	12	0	 	 
907	13	0	 	 
907	14	0	 	 
907	15	0	 	 
908	1	0	 	 
908	2	0	 	 
908	3	0	 	 
908	4	0	 	 
908	5	0	 	 
908	6	0	 	 
908	7	0	 	 
908	8	0	 	 
908	9	1	2	2
908	10	0	 	 
908	11	0	 	 
908	12	0	 	 
908	13	0	 	 
908	14	0	 	 
908	15	0	 	 
909	1	0	 	 
909	2	0	 	 
909	3	0	 	 
909	4	0	 	 
909	5	0	 	 
909	6	0	 	 
909	7	0	 	 
909	8	1	2	2
909	9	1	88	88
909	10	0	 	 
909	11	0	 	 
909	12	0	 	 
909	13	0	 	 
909	14	1	2	2
909	15	0	 	 
910	1	0	 	 
910	2	0	 	 
910	3	0	 	 
910	4	0	 	 
910	5	0	 	 
910	6	0	 	 
910	7	0	 	 
910	8	0	 	 
910	9	1	2	2
910	10	0	 	 
910	11	0	 	 
910	12	0	 	 
910	13	0	 	 
910	14	0	 	 
910	15	0	 	 
911	1	0	 	 
911	2	0	 	 
911	3	0	 	 
911	4	0	 	 
911	5	0	 	 
911	6	0	 	 
911	7	0	 	 
911	8	0	 	 
911	9	1	2	2
911	10	0	 	 
911	11	0	 	 
911	12	0	 	 
911	13	0	 	 
911	14	0	 	 
911	15	0	 	 
912	1	0	 	 
912	2	0	 	 
912	3	0	 	 
912	4	0	 	 
912	5	0	 	 
912	6	0	 	 
912	7	0	 	 
912	8	0	 	 
912	9	1	2	2
912	10	0	 	 
912	11	0	 	 
912	12	0	 	 
912	13	0	 	 
912	14	0	 	 
912	15	0	 	 
1001	1	0	 	 
1001	2	0	 	 
1001	3	0	 	 
1001	4	0	 	 
1001	5	0	 	 
1001	6	0	 	 
1001	7	0	 	 
1001	8	0	 	 
1001	9	0	 	 
1001	10	0	 	 
1001	11	1	2	2
1001	12	0	 	 
1001	13	1	2	2
1001	14	0	 	 
1001	15	0	 	 
1003	1	0	 	 
1003	2	0	 	 
1003	3	0	 	 
1003	4	0	 	 
1003	5	0	 	 
1003	6	0	 	 
1003	7	0	 	 
1003	8	0	 	 
1003	9	0	 	 
1003	10	0	 	 
1003	11	0	 	 
1003	12	0	 	 
1003	13	0	 	 
1003	14	0	 	 
1003	15	0	 	 
1004	1	0	 	 
1004	2	0	 	 
1004	3	0	 	 
1004	4	0	 	 
1004	5	0	 	 
1004	6	1	2	2
1004	7	1	2	2
1004	8	0	 	 
1004	9	0	 	 
1004	10	0	 	 
1004	11	0	 	 
1004	12	0	 	 
1004	13	1	2	2
1004	14	0	 	 
1004	15	0	 	 
1005	1	0	 	 
1005	2	0	 	 
1005	3	1	2	2
1005	4	1	2	2
1005	5	0	 	 
1005	6	1	2	2
1005	7	0	 	 
1005	8	0	 	 
1005	9	0	 	 
1005	10	0	 	 
1005	11	0	 	 
1005	12	0	 	 
1005	13	1	2	2
1005	14	0	 	 
1005	15	0	 	 
1006	1	0	 	 
1006	2	0	 	 
1006	3	0	 	 
1006	4	0	 	 
1006	5	0	 	 
1006	6	0	 	 
1006	7	0	 	 
1006	8	0	 	 
1006	9	0	 	 
1006	10	0	 	 
1006	11	1	2	2
1006	12	0	 	 
1006	13	1	2	2
1006	14	0	 	 
1006	15	0	 	 
1101	1	0	 	 
1101	2	0	 	 
1101	3	0	 	 
1101	4	0	 	 
1101	5	0	 	 
1101	6	0	 	 
1101	7	0	 	 
1101	8	0	 	 
1101	9	0	 	 
1101	10	0	 	 
1101	11	0	 	 
1101	12	0	 	 
1101	13	0	 	 
1101	14	0	 	 
1101	15	0	 	 
1102	1	0	 	 
1102	2	0	 	 
1102	3	0	 	 
1102	4	0	 	 
1102	5	0	 	 
1102	6	0	 	 
1102	7	0	 	 
1102	8	0	 	 
1102	9	0	 	 
1102	10	0	 	 
1102	11	0	 	 
1102	12	0	 	 
1102	13	0	 	 
1102	14	1	1	1
1102	15	0	 	 
1103	1	0	 	 
1103	2	0	 	 
1103	3	0	 	 
1103	4	0	 	 
1103	5	0	 	 
1103	6	0	 	 
1103	7	0	 	 
1103	8	0	 	 
1103	9	1	2	2
1103	10	0	 	 
1103	11	0	 	 
1103	12	0	 	 
1103	13	0	 	 
1103	14	0	 	 
1103	15	0	 	 
1104	1	0	 	 
1104	2	0	 	 
1104	3	0	 	 
1104	4	0	 	 
1104	5	0	 	 
1104	6	1	2	2
1104	7	0	 	 
1104	8	0	 	 
1104	9	1	2	2
1104	10	0	 	 
1104	11	0	 	 
1104	12	0	 	 
1104	13	0	 	 
1104	14	0	 	 
1104	15	0	 	 
1105	1	0	 	 
1105	2	0	 	 
1105	3	0	 	 
1105	4	0	 	 
1105	5	0	 	 
1105	6	1	2	2
1105	7	0	 	 
1105	8	0	 	 
1105	9	0	 	 
1105	10	0	 	 
1105	11	0	 	 
1105	12	0	 	 
1105	13	0	 	 
1105	14	0	 	 
1105	15	0	 	 
1106	1	0	 	 
1106	2	0	 	 
1106	3	0	 	 
1106	4	1	2	2
1106	5	0	 	 
1106	6	0	 	 
1106	7	0	 	 
1106	8	0	 	 
1106	9	1	2	2
1106	10	0	 	 
1106	11	0	 	 
1106	12	0	 	 
1106	13	0	 	 
1106	14	0	 	 
1106	15	0	 	 
1107	1	0	 	 
1107	2	0	 	 
1107	3	1	2	3
1107	4	0	 	 
1107	5	0	 	 
1107	6	0	 	 
1107	7	0	 	 
1107	8	0	 	 
1107	9	0	 	 
1107	10	0	 	 
1107	11	0	 	 
1107	12	0	 	 
1107	13	0	 	 
1107	14	1	2	3
1107	15	0	 	 
1108	1	0	 	 
1108	2	0	 	 
1108	3	0	 	 
1108	4	0	 	 
1108	5	0	 	 
1108	6	0	 	 
1108	7	0	 	 
1108	8	0	 	 
1108	9	0	 	 
1108	10	0	 	 
1108	11	0	 	 
1108	12	0	 	 
1108	13	0	 	 
1108	14	1	1	1
1108	15	0	 	 
1202	1	0	 	 
1202	2	0	 	 
1202	3	0	 	 
1202	4	0	 	 
1202	5	0	 	 
1202	6	1	1	1
1202	7	0	 	 
1202	8	1	1	1
1202	9	0	 	 
1202	10	0	 	 
1202	11	1	2	3
1202	12	0	 	 
1202	13	1	1	3
1202	14	1	1	3
1202	15	0	 	 
1203	1	0	 	 
1203	2	0	 	 
1203	3	0	 	 
1203	4	0	 	 
1203	5	0	 	 
1203	6	1	2	2
1203	7	0	 	 
1203	8	1	1	1
1203	9	0	 	 
1203	10	0	 	 
1203	11	1	2	3
1203	12	0	 	 
1203	13	0	 	 
1203	14	1	2	2
1203	15	0	 	 
1302	1	0	 	 
1302	2	0	 	 
1302	3	1	2	3
1302	4	0	 	 
1302	5	0	 	 
1302	6	0	 	 
1302	7	0	 	 
1302	8	0	 	 
1302	9	1	2	3
1302	10	0	 	 
1302	11	1	2	1
1302	12	0	 	 
1302	13	1	2	1
1302	14	1	2	1
1302	15	0	 	 
1303	1	0	 	 
1303	2	0	 	 
1303	3	0	 	 
1303	4	0	 	 
1303	5	0	 	 
1303	6	1	1	2
1303	7	1	1	2
1303	8	1	2	2
1303	9	1	2	2
1303	10	1	2	2
1303	11	0	 	 
1303	12	0	 	 
1303	13	1	1	2
1303	14	1	2	2
1303	15	0	 	 
1304	1	0	 	 
1304	2	1	2	4
1304	3	1	1	4
1304	4	1	2	3
1304	5	0	 	 
1304	6	0	 	 
1304	7	0	 	 
1304	8	0	 	 
1304	9	0	 	 
1304	10	0	 	 
1304	11	1	1	3
1304	12	0	 	 
1304	13	1	1	3
1304	14	0	 	 
1304	15	0	 	 
1402	1	0	 	 
1402	2	0	 	 
1402	3	0	 	 
1402	4	0	 	 
1402	5	0	 	 
1402	6	0	 	 
1402	7	0	 	 
1402	8	1	2	3
1402	9	0	 	 
1402	10	0	 	 
1402	11	1	2	3
1402	12	0	 	 
1402	13	1	2	3
1402	14	0	 	 
1402	15	0	 	 
1403	1	0	 	 
1403	2	0	 	 
1403	3	0	 	 
1403	4	0	 	 
1403	5	0	 	 
1403	6	0	 	 
1403	7	0	 	 
1403	8	0	 	 
1403	9	0	 	 
1403	10	0	 	 
1403	11	1	2	3
1403	12	0	 	 
1403	13	1	2	3
1403	14	0	 	 
1403	15	0	 	 
1404	1	0	 	 
1404	2	0	 	 
1404	3	0	 	 
1404	4	0	 	 
1404	5	0	 	 
1404	6	1	2	3
1404	7	0	 	 
1404	8	1	2	3
1404	9	0	 	 
1404	10	0	 	 
1404	11	0	 	 
1404	12	0	 	 
1404	13	0	 	 
1404	14	0	 	 
1404	15	0	 	 
1501	1	0	 	 
1501	2	0	 	 
1501	3	1	2	1
1501	4	0	 	 
1501	5	0	 	 
1501	6	0	 	 
1501	7	0	 	 
1501	8	0	 	 
1501	9	1	2	1
1501	10	0	 	 
1501	11	0	 	 
1501	12	0	 	 
1501	13	0	 	 
1501	14	0	 	 
1501	15	0	 	 
1502	1	0	 	 
1502	2	0	 	 
1502	3	1	2	1
1502	4	0	 	 
1502	5	0	 	 
1502	6	1	2	2
1502	7	1	2	2
1502	8	0	 	 
1502	9	1	2	2
1502	10	0	 	 
1502	11	0	 	 
1502	12	0	 	 
1502	13	0	 	 
1502	14	0	 	 
1502	15	0	 	 
1503	1	0	 	 
1503	2	0	 	 
1503	3	0	 	 
1503	4	0	 	 
1503	5	0	 	 
1503	6	1	2	2
1503	7	0	 	 
1503	8	0	 	 
1503	9	1	2	2
1503	10	0	 	 
1503	11	0	 	 
1503	12	0	 	 
1503	13	0	 	 
1503	14	0	 	 
1503	15	0	 	 
1504	1	0	 	 
1504	2	0	 	 
1504	3	0	 	 
1504	4	0	 	 
1504	5	0	 	 
1504	6	1	2	2
1504	7	0	 	 
1504	8	0	 	 
1504	9	1	2	2
1504	10	0	 	 
1504	11	0	 	 
1504	12	0	 	 
1504	13	0	 	 
1504	14	0	 	 
1504	15	0	 	 
1505	1	0	 	 
1505	2	0	 	 
1505	3	1	2	2
1505	4	0	 	 
1505	5	0	 	 
1505	6	1	2	2
1505	7	0	 	 
1505	8	0	 	 
1505	9	1	2	2
1505	10	0	 	 
1505	11	0	 	 
1505	12	0	 	 
1505	13	0	 	 
1505	14	0	 	 
1505	15	0	 	 
1506	1	0	 	 
1506	2	0	 	 
1506	3	1	2	3
1506	4	0	 	 
1506	5	0	 	 
1506	6	1	2	3
1506	7	0	 	 
1506	8	0	 	 
1506	9	1	2	3
1506	10	0	 	 
1506	11	0	 	 
1506	12	0	 	 
1506	13	0	 	 
1506	14	0	 	 
1506	15	0	 	 
1507	1	0	 	 
1507	2	0	 	 
1507	3	1	1	2
1507	4	0	 	 
1507	5	0	 	 
1507	6	0	 	 
1507	7	0	 	 
1507	8	0	 	 
1507	9	1	1	2
1507	10	0	 	 
1507	11	0	 	 
1507	12	0	 	 
1507	13	0	 	 
1507	14	1	1	3
1507	15	0	 	 
1508	1	0	 	 
1508	2	0	 	 
1508	3	0	 	 
1508	4	0	 	 
1508	5	0	 	 
1508	6	0	 	 
1508	7	0	 	 
1508	8	0	 	 
1508	9	1	2	3
1508	10	0	 	 
1508	11	0	 	 
1508	12	0	 	 
1508	13	0	 	 
1508	14	0	 	 
1508	15	0	 	 
1509	1	0	 	 
1509	2	0	 	 
1509	3	1	1	3
1509	4	0	 	 
1509	5	0	 	 
1509	6	0	 	 
1509	7	0	 	 
1509	8	0	 	 
1509	9	0	 	 
1509	10	0	 	 
1509	11	0	 	 
1509	12	0	 	 
1509	13	0	 	 
1509	14	0	 	 
1509	15	0	 	 
1601	1	0	 	 
1601	2	0	 	 
1601	3	0	 	 
1601	4	0	 	 
1601	5	0	 	 
1601	6	0	 	 
1601	7	0	 	 
1601	8	1	2	3
1601	9	1	2	3
1601	10	0	 	 
1601	11	0	 	 
1601	12	1	2	3
1601	13	0	 	 
1601	14	0	 	 
1601	15	0	 	 
1602	1	0	 	 
1602	2	0	 	 
1602	3	0	 	 
1602	4	1	2	3
1602	5	0	 	 
1602	6	0	 	 
1602	7	0	 	 
1602	8	0	 	 
1602	9	1	2	3
1602	10	0	 	 
1602	11	1	2	3
1602	12	1	2	3
1602	13	1	2	3
1602	14	0	 	 
1602	15	0	 	 
1603	1	0	 	 
1603	2	0	 	 
1603	3	0	 	 
1603	4	0	 	 
1603	5	0	 	 
1603	6	1	2	3
1603	7	1	2	3
1603	8	1	2	3
